# time kinetic_energy potential_energy total_energy
0.000000000000000000e+00 3.653336036363561856e+00 -1.454771480018444436e+03 -1.451118143982080937e+03
1.000000000000000021e-02 1.177336105124661003e+01 -1.461969797215868994e+03 -1.450196436164622355e+03
2.000000000000000042e-02 2.803238655986819339e+01 -1.480438945239337272e+03 -1.452406558679469072e+03
2.999999999999999889e-02 4.302137441035068122e+01 -1.489400779801208955e+03 -1.446379405390858210e+03
4.000000000000000083e-02 4.319999861097166161e+01 -1.482694843469891339e+03 -1.439494844858919578e+03
5.000000000000000278e-02 4.361425739516966615e+01 -1.481372068844541900e+03 -1.437757811449372184e+03
6.000000000000000472e-02 6.119388449087984583e+01 -1.500513429331008638e+03 -1.439319544840128856e+03
7.000000000000000666e-02 7.420232074270244027e+01 -1.504918942786906655e+03 -1.430716622044204314e+03
8.000000000000000167e-02 9.847510581426158183e+01 -1.528233792000843096e+03 -1.429758686186581599e+03
8.999999999999999667e-02 1.273787683018491919e+02 -1.563795932123244938e+03 -1.436417163821395661e+03
9.999999999999999167e-02 1.172679506961179925e+02 -1.553362020801059089e+03 -1.436094070104941011e+03
1.099999999999999867e-01 1.024744166578029336e+02 -1.533877161524828125e+03 -1.431402744867025149e+03
1.199999999999999817e-01 1.089961534069459503e+02 -1.541981191358381693e+03 -1.432985037951435743e+03
1.299999999999999767e-01 1.292760697027200081e+02 -1.565274777991705605e+03 -1.435998708288985654e+03
1.399999999999999856e-01 1.543216690084811091e+02 -1.580762711936643427e+03 -1.426441042928162233e+03
1.499999999999999944e-01 1.812825968632177762e+02 -1.605271538267280448e+03 -1.423988941404062643e+03
1.600000000000000033e-01 2.085098829840406154e+02 -1.637799252788576041e+03 -1.429289369804535454e+03
1.700000000000000122e-01 2.289870679543316783e+02 -1.652767219654058181e+03 -1.423780151699726503e+03
1.800000000000000211e-01 2.299818352612350054e+02 -1.656882848238186853e+03 -1.426901012976951733e+03
1.900000000000000300e-01 2.251706377820064802e+02 -1.649545030788000531e+03 -1.424374393005994079e+03
2.000000000000000389e-01 2.406933198405613723e+02 -1.664839436318802427e+03 -1.424146116478241083e+03
2.100000000000000477e-01 2.520387239140704310e+02 -1.683170850023318508e+03 -1.431132126109248020e+03
2.200000000000000566e-01 2.389846804316144073e+02 -1.666494707345398638e+03 -1.427510026913784259e+03
2.300000000000000655e-01 2.270783990962845849e+02 -1.652733271911616612e+03 -1.425654872815332055e+03
2.400000000000000744e-01 2.342267833379296178e+02 -1.665157897731768117e+03 -1.430931114393838470e+03
2.500000000000000555e-01 2.471848222706147169e+02 -1.673392509878323835e+03 -1.426207687607709204e+03
2.600000000000000644e-01 2.704058967406722900e+02 -1.703486937594825122e+03 -1.433081040854152889e+03
2.700000000000000733e-01 2.788588374198662905e+02 -1.703303663151714318e+03 -1.424444825731848141e+03
2.800000000000000822e-01 2.745460205179155082e+02 -1.706086801641977218e+03 -1.431540781124061596e+03
2.900000000000000910e-01 2.739966120234304299e+02 -1.696258921789305305e+03 -1.422262309765874761e+03
3.000000000000000999e-01 2.849685493147122202e+02 -1.711159057365097397e+03 -1.426190508050385233e+03
3.100000000000001088e-01 2.994338948362384940e+02 -1.722644192739499658e+03 -1.423210297903261107e+03
3.200000000000001177e-01 3.068123621688476419e+02 -1.731989444854206795e+03 -1.425177082685359210e+03
3.300000000000001266e-01 3.265672190330838021e+02 -1.761011681464259027e+03 -1.434444462431175225e+03
3.400000000000001354e-01 3.528514152378364201e+02 -1.782633902529263651e+03 -1.429782487291427287e+03
3.500000000000001443e-01 3.953484942702818898e+02 -1.822095672655123508e+03 -1.426747178384841618e+03
3.600000000000001532e-01 4.296314206899102146e+02 -1.857017875634178154e+03 -1.427386454944267825e+03
3.700000000000001621e-01 4.207710274677569373e+02 -1.849234110452877076e+03 -1.428463082985120082e+03
3.800000000000001710e-01 4.125409088052917355e+02 -1.828019150143213210e+03 -1.415478241337921418e+03
3.900000000000001799e-01 4.207368354760294551e+02 -1.835634107617457403e+03 -1.414897272141427948e+03
4.000000000000001887e-01 4.323821587875255545e+02 -1.860055549270362235e+03 -1.427673390482836567e+03
4.100000000000001976e-01 4.506183392579156362e+02 -1.861378160212342436e+03 -1.410759820954426687e+03
4.200000000000002065e-01 4.930389007284135232e+02 -1.907817711067396885e+03 -1.414778810338983476e+03
4.300000000000002154e-01 5.113253260708823404e+02 -1.910575698547808088e+03 -1.399250372476925804e+03
4.400000000000002243e-01 5.122456717139109514e+02 -1.914186040065724455e+03 -1.401940368351813504e+03
4.500000000000002331e-01 5.165130988065008069e+02 -1.910884947715910585e+03 -1.394371848909409891e+03
4.600000000000002420e-01 4.935318692202193347e+02 -1.893273106321845262e+03 -1.399741237101625984e+03
4.700000000000002509e-01 4.919701494169132161e+02 -1.895321952019830860e+03 -1.403351802602917587e+03
4.800000000000002598e-01 4.962689061452995816e+02 -1.896108068255035505e+03 -1.399839162109735980e+03
4.900000000000002687e-01 4.886394979494002087e+02 -1.886584408210181664e+03 -1.397944910260781398e+03
5.000000000000002220e-01 4.855309687951261708e+02 -1.887231448265200015e+03 -1.401700479470073788e+03
5.100000000000002309e-01 5.010551771951768387e+02 -1.901629454093199229e+03 -1.400574276898022390e+03
5.200000000000002398e-01 5.385374039303812879e+02 -1.942538132118347221e+03 -1.404000728187965933e+03
5.300000000000002487e-01 5.630684751966047088e+02 -1.956348088037884736e+03 -1.393279612841280141e+03
5.400000000000002576e-01 5.727803079010578813e+02 -1.956519430135645507e+03 -1.383739122234587740e+03
5.500000000000002665e-01 5.981457432887340246e+02 -1.991584958170227083e+03 -1.393439214881493172e+03
5.600000000000002753e-01 5.942910637304659076e+02 -1.988828285877968710e+03 -1.394537222147502689e+03
5.700000000000002842e-01 5.838198492272224485e+02 -1.978521698975947857e+03 -1.394701849748725408e+03
5.800000000000002931e-01 6.216135524764213187e+02 -2.007819238011677953e+03 -1.386205685535256634e+03
5.900000000000003020e-01 6.709829592501421303e+02 -2.061476925764391126e+03 -1.390493966514248996e+03
6.000000000000003109e-01 7.242682048501467307e+02 -2.118993335872663920e+03 -1.394725131022517189e+03
6.100000000000003197e-01 7.283459522522687166e+02 -2.087735927443065975e+03 -1.359389975190797259e+03
6.200000000000003286e-01 7.005182281676724187e+02 -2.063806916281379927e+03 -1.363288688113707394e+03
6.300000000000003375e-01 7.127094411494654196e+02 -2.073722963118178996e+03 -1.361013521968713576e+03
6.400000000000003464e-01 7.312632151468303618e+02 -2.086476689958834413e+03 -1.355213474812004051e+03
6.500000000000003553e-01 7.476094595837203087e+02 -2.112399821528513257e+03 -1.364790361944792949e+03
