# time kinetic_energy potential_energy total_energy
0.000000000000000000e+00 3.720016640961893550e+00 -1.454770238863150553e+03 -1.451050222222188722e+03
1.000000000000000021e-02 1.184003799887865505e+01 -1.461812894232782810e+03 -1.449972856233904167e+03
2.000000000000000042e-02 2.815599489099171748e+01 -1.480205446677425243e+03 -1.452049451786433565e+03
2.999999999999999889e-02 4.331051136837033511e+01 -1.489187029134345494e+03 -1.445876517765975223e+03
4.000000000000000083e-02 4.354692494616080012e+01 -1.482334455526473675e+03 -1.438787530580312932e+03
5.000000000000000278e-02 4.386471636007057384e+01 -1.480686555056779071e+03 -1.436821838696708483e+03
6.000000000000000472e-02 6.161095632858015847e+01 -1.500074758006077445e+03 -1.438463801677497258e+03
7.000000000000000666e-02 7.432513849784879767e+01 -1.503982702834696511e+03 -1.429657564336847827e+03
8.000000000000000167e-02 9.742103692655418001e+01 -1.526067569158792821e+03 -1.428646532232238542e+03
8.999999999999999667e-02 1.260626794894872376e+02 -1.561708301254715479e+03 -1.435645621765228270e+03
9.999999999999999167e-02 1.186652647188893184e+02 -1.553050846639653628e+03 -1.434385581920764253e+03
1.099999999999999867e-01 1.053864539636726505e+02 -1.533519830251556414e+03 -1.428133376287883721e+03
1.199999999999999817e-01 1.111597141034015266e+02 -1.542167968462359340e+03 -1.431008254358957856e+03
1.299999999999999767e-01 1.294001370015780026e+02 -1.562783320030291634e+03 -1.433383183028713574e+03
1.399999999999999856e-01 1.526780070757115766e+02 -1.576199599143955538e+03 -1.423521592068243990e+03
1.499999999999999944e-01 1.729674954032841754e+02 -1.597261751762941913e+03 -1.424294256359657766e+03
1.600000000000000033e-01 1.962576261746319233e+02 -1.625046649368200178e+03 -1.428789023193568255e+03
1.700000000000000122e-01 2.281802900168426333e+02 -1.652616847752725107e+03 -1.424436557735882388e+03
1.800000000000000211e-01 2.364371632257941371e+02 -1.665995786474385568e+03 -1.429558623248591402e+03
1.900000000000000300e-01 2.263142333643222059e+02 -1.650331450320848717e+03 -1.424017216956526454e+03
2.000000000000000389e-01 2.368080146006748521e+02 -1.657047625995848875e+03 -1.420239611395174052e+03
2.100000000000000477e-01 2.496358873712337925e+02 -1.680283688721996896e+03 -1.430647801350763075e+03
2.200000000000000566e-01 2.382870262583687406e+02 -1.665764589800623071e+03 -1.427477563542254302e+03
2.300000000000000655e-01 2.326099669508646741e+02 -1.658605736168185558e+03 -1.425995769217320913e+03
2.400000000000000744e-01 2.359680227325796409e+02 -1.666255101407507709e+03 -1.430287078674928125e+03
2.500000000000000555e-01 2.422579569039232581e+02 -1.670473434060005047e+03 -1.428215477156081761e+03
2.600000000000000644e-01 2.669439067807432480e+02 -1.703152563422262801e+03 -1.436208656641519610e+03
2.700000000000000733e-01 2.807361651062888654e+02 -1.708986716519598303e+03 -1.428250551413309495e+03
2.800000000000000822e-01 2.828852246576747120e+02 -1.709633028830277681e+03 -1.426747804172603082e+03
2.900000000000000910e-01 2.854836458864155588e+02 -1.703453116549463630e+03 -1.417969470663048014e+03
3.000000000000000999e-01 2.997646561604166777e+02 -1.716145340666011634e+03 -1.416380684505594900e+03
3.100000000000001088e-01 3.209087967163998201e+02 -1.729461179841578769e+03 -1.408552383125178949e+03
3.200000000000001177e-01 3.417298124240289212e+02 -1.753350343239137374e+03 -1.411620530815108395e+03
3.300000000000001266e-01 3.628703392465930619e+02 -1.785260684486427863e+03 -1.422390345239834915e+03
3.400000000000001354e-01 3.696848461677849969e+02 -1.781250504272969920e+03 -1.411565658105184866e+03
3.500000000000001443e-01 3.947997338250998496e+02 -1.807783559716374384e+03 -1.412983825891274591e+03
3.600000000000001532e-01 4.034286773258445464e+02 -1.808335184729546881e+03 -1.404906507403702335e+03
3.700000000000001621e-01 4.000084680790939160e+02 -1.810039244385915026e+03 -1.410030776306821053e+03
3.800000000000001710e-01 4.047307155703251738e+02 -1.801940426485591388e+03 -1.397209710915266214e+03
3.900000000000001799e-01 4.102607407700598969e+02 -1.811048702275593996e+03 -1.400787961505533985e+03
4.000000000000001887e-01 4.370136737130887923e+02 -1.847523555430031365e+03 -1.410509881716942573e+03
4.100000000000001976e-01 4.560189197316468608e+02 -1.849499049557856779e+03 -1.393480129826210032e+03
4.200000000000002065e-01 4.748071758981486710e+02 -1.869244191301066621e+03 -1.394437015402917950e+03
4.300000000000002154e-01 4.904417019564850193e+02 -1.875419570539750339e+03 -1.384977868583265263e+03
4.400000000000002243e-01 5.007913259106482542e+02 -1.885913936024430996e+03 -1.385122610113782684e+03
4.500000000000002331e-01 5.055834814769113450e+02 -1.904027086693739193e+03 -1.398443605216827791e+03
4.600000000000002420e-01 5.119568206649781246e+02 -1.919075678107870544e+03 -1.407118857442892477e+03
4.700000000000002509e-01 5.281442163644729817e+02 -1.928314777668196029e+03 -1.400170561303722934e+03
4.800000000000002598e-01 5.288707835277859886e+02 -1.923133072176910218e+03 -1.394262288649124230e+03
4.900000000000002687e-01 5.358953622549521469e+02 -1.923950762104539990e+03 -1.388055399849587957e+03
5.000000000000002220e-01 5.480041657937499622e+02 -1.932399684687658919e+03 -1.384395518893908957e+03
5.100000000000002309e-01 5.713990486585099688e+02 -1.962761228149529416e+03 -1.391362179491019560e+03
5.200000000000002398e-01 5.999605326905032143e+02 -1.980334784386857336e+03 -1.380374251696354122e+03
5.300000000000002487e-01 6.115516269028304350e+02 -1.978408820402668880e+03 -1.366857193499838559e+03
5.400000000000002576e-01 6.149763286872582739e+02 -1.976083491576211372e+03 -1.361107162888953098e+03
5.500000000000002665e-01 6.169186149655193958e+02 -1.991392951326358116e+03 -1.374474336360838606e+03
5.600000000000002753e-01 6.432637803823234890e+02 -2.013194573448724896e+03 -1.369930793066401293e+03
5.700000000000002842e-01 6.783715445247360094e+02 -2.045539191575606992e+03 -1.367167647050870983e+03
5.800000000000002931e-01 7.149017912078361405e+02 -2.084857051235174822e+03 -1.369955260027338682e+03
5.900000000000003020e-01 7.662226308708580973e+02 -2.143220090753598470e+03 -1.376997459882740259e+03
6.000000000000003109e-01 7.880631285156096055e+02 -2.123663199065123990e+03 -1.335600070549514385e+03
6.100000000000003197e-01 7.799120866194957671e+02 -2.110693588459267175e+03 -1.330781501839771408e+03
6.200000000000003286e-01 7.754132909329661061e+02 -2.101770955171267360e+03 -1.326357664238301368e+03
6.300000000000003375e-01 7.713657372713489622e+02 -2.096565991526434573e+03 -1.325200254255085611e+03
6.400000000000003464e-01 7.536092996916116817e+02 -2.073736752831611284e+03 -1.320127453139999488e+03
6.500000000000003553e-01 7.689988299486572032e+02 -2.088329421944257319e+03 -1.319330591995600116e+03
6.600000000000003642e-01 8.127734558415062338e+02 -2.114633190084352464e+03 -1.301859734242846116e+03
6.700000000000003730e-01 8.426434812134538106e+02 -2.141453038468100658e+03 -1.298809557254646734e+03
6.800000000000003819e-01 8.499751225024539281e+02 -2.134358436635467115e+03 -1.284383314133013300e+03
6.900000000000003908e-01 8.385851166409419193e+02 -2.128884331959171959e+03 -1.290299215318229926e+03
7.000000000000003997e-01 8.228228291263258143e+02 -2.092080972014929557e+03 -1.269258142888603743e+03
7.100000000000004086e-01 8.097146138697150946e+02 -2.092584941088467076e+03 -1.282870327218751981e+03
7.200000000000004174e-01 7.907215269030315312e+02 -2.075390924713586628e+03 -1.284669397810554983e+03
7.300000000000004263e-01 7.677019382185810628e+02 -2.051727005564989668e+03 -1.284025067346408605e+03
7.400000000000004352e-01 7.648415524038284730e+02 -2.046267052219847983e+03 -1.281425499816019510e+03
7.500000000000004441e-01 7.758942690521487293e+02 -2.063636628608318460e+03 -1.287742359556169731e+03
7.600000000000004530e-01 7.778340180246151476e+02 -2.074056880575589275e+03 -1.296222862550974241e+03
7.700000000000004619e-01 7.923194450246496672e+02 -2.085963248514614861e+03 -1.293643803489965194e+03
7.800000000000004707e-01 8.395895770206205952e+02 -2.133426303670002198e+03 -1.293836726649381490e+03
7.900000000000004796e-01 8.669529411612528520e+02 -2.159746900588325843e+03 -1.292793959427072878e+03
8.000000000000004885e-01 8.593117793300891663e+02 -2.161078704713801471e+03 -1.301766925383712305e+03
8.100000000000004974e-01 8.550874071676707899e+02 -2.149092760708104834e+03 -1.294005353540434044e+03
8.200000000000005063e-01 8.658540477438224343e+02 -2.162426712685284201e+03 -1.296572664941461881e+03
8.300000000000005151e-01 8.957612909038626867e+02 -2.191830370929621949e+03 -1.296069080025759376e+03
8.400000000000005240e-01 9.231920036356340233e+02 -2.221228172866807199e+03 -1.298036169231173062e+03
8.500000000000005329e-01 9.422926652232703191e+02 -2.245660943079439676e+03 -1.303368277856169243e+03
8.600000000000005418e-01 9.699657173447980085e+02 -2.273246817733402168e+03 -1.303281100388604045e+03
8.700000000000005507e-01 1.015568290465368136e+03 -2.332367936374448163e+03 -1.316799645909080027e+03
8.800000000000005596e-01 1.039145804331742056e+03 -2.326377826607482348e+03 -1.287232022275740292e+03
8.900000000000005684e-01 1.036419260166992444e+03 -2.315079344818225309e+03 -1.278660084651232864e+03
9.000000000000005773e-01 1.047955156437185906e+03 -2.327750249474377597e+03 -1.279795093037191691e+03
9.100000000000005862e-01 1.051934384614619148e+03 -2.325222878971540922e+03 -1.273288494356921774e+03
9.200000000000005951e-01 1.040539260174113451e+03 -2.308445826704647061e+03 -1.267906566530533610e+03
9.300000000000006040e-01 1.034673402309883159e+03 -2.299253288456552127e+03 -1.264579886146668969e+03
9.400000000000006128e-01 1.048414501621288082e+03 -2.323875595189381329e+03 -1.275461093568093247e+03
9.500000000000006217e-01 1.065573881482440584e+03 -2.335457039729039479e+03 -1.269883158246598896e+03
9.600000000000006306e-01 1.087660285995836603e+03 -2.349152687332728874e+03 -1.261492401336892272e+03
9.700000000000006395e-01 1.112357510614210696e+03 -2.369576838529781980e+03 -1.257219327915571284e+03
9.800000000000006484e-01 1.140469720060426880e+03 -2.384700379460834938e+03 -1.244230659400408058e+03
9.900000000000006573e-01 1.177096103872064305e+03 -2.428728049042558723e+03 -1.251631945170494419e+03
